Validation error, mini-batch count, D/T.
0.232468, 25000, 2018-03-09 00:31:19.
0.234394, 25050, 2018-03-09 00:31:41.
0.231207, 25100, 2018-03-09 00:32:04.
0.236075, 25150, 2018-03-09 00:32:26.
0.234143, 25200, 2018-03-09 00:32:48.
0.234471, 25250, 2018-03-09 00:33:10.
0.232778, 25300, 2018-03-09 00:33:32.
0.238383, 25350, 2018-03-09 00:33:54.
0.230656, 25400, 2018-03-09 00:34:19.
0.22957, 25450, 2018-03-09 00:34:43.
0.233494, 25500, 2018-03-09 00:35:05.
0.231069, 25550, 2018-03-09 00:35:28.
0.231246, 25600, 2018-03-09 00:35:50.
0.235529, 25650, 2018-03-09 00:36:12.
0.236605, 25700, 2018-03-09 00:36:34.
0.239281, 25750, 2018-03-09 00:36:56.
0.231115, 25800, 2018-03-09 00:37:19.
0.231387, 25850, 2018-03-09 00:37:41.
0.233748, 25900, 2018-03-09 00:38:03.
0.233767, 25950, 2018-03-09 00:38:25.
0.230258, 26000, 2018-03-09 00:38:47.
0.239334, 26050, 2018-03-09 00:39:09.
0.233165, 26100, 2018-03-09 00:39:31.
0.240198, 26150, 2018-03-09 00:39:53.
0.23613, 26200, 2018-03-09 00:40:16.
0.241673, 26250, 2018-03-09 00:40:38.
0.233592, 26300, 2018-03-09 00:41:00.
0.234696, 26350, 2018-03-09 00:41:22.
0.235995, 26400, 2018-03-09 00:41:44.
0.232032, 26450, 2018-03-09 00:42:06.
0.229149, 26500, 2018-03-09 00:42:31.
0.232468, 26550, 2018-03-09 00:42:53.
0.238184, 26600, 2018-03-09 00:43:15.
0.241831, 26650, 2018-03-09 00:43:37.
0.242029, 26700, 2018-03-09 00:43:59.
0.242068, 26750, 2018-03-09 00:44:21.
0.233437, 26800, 2018-03-09 00:44:43.
0.239244, 26850, 2018-03-09 00:45:05.
0.231758, 26900, 2018-03-09 00:45:28.
0.231837, 26950, 2018-03-09 00:45:50.
0.232235, 27000, 2018-03-09 00:46:12.
0.231372, 27050, 2018-03-09 00:46:34.
0.231752, 27100, 2018-03-09 00:46:56.
0.233931, 27150, 2018-03-09 00:47:18.
0.233193, 27200, 2018-03-09 00:47:40.
0.232129, 27250, 2018-03-09 00:48:02.
0.231719, 27300, 2018-03-09 00:48:24.
0.236582, 27350, 2018-03-09 00:48:46.
0.233057, 27400, 2018-03-09 00:49:08.
0.231157, 27450, 2018-03-09 00:49:30.
0.237101, 27500, 2018-03-09 00:49:52.
0.23111, 27550, 2018-03-09 00:50:14.
0.233113, 27600, 2018-03-09 00:50:36.
0.233552, 27650, 2018-03-09 00:50:59.
0.235425, 27700, 2018-03-09 00:51:21.
0.233639, 27750, 2018-03-09 00:51:43.
0.237878, 27800, 2018-03-09 00:52:05.
0.238946, 27850, 2018-03-09 00:52:27.
0.232474, 27900, 2018-03-09 00:52:49.
0.23768, 27950, 2018-03-09 00:53:11.
0.231866, 28000, 2018-03-09 00:53:33.
0.230504, 28050, 2018-03-09 00:53:55.
0.231891, 28100, 2018-03-09 00:54:17.
0.232177, 28150, 2018-03-09 00:54:39.
0.233204, 28200, 2018-03-09 00:55:01.
0.231894, 28250, 2018-03-09 00:55:23.
0.237522, 28300, 2018-03-09 00:55:46.
0.236772, 28350, 2018-03-09 00:56:08.
0.237033, 28400, 2018-03-09 00:56:30.
0.240036, 28450, 2018-03-09 00:56:52.
0.239207, 28500, 2018-03-09 00:57:14.
0.235602, 28550, 2018-03-09 00:57:36.
0.236926, 28600, 2018-03-09 00:57:58.
0.236047, 28650, 2018-03-09 00:58:20.
0.234166, 28700, 2018-03-09 00:58:42.
0.232472, 28750, 2018-03-09 00:59:04.
0.233066, 28800, 2018-03-09 00:59:26.
0.234411, 28850, 2018-03-09 00:59:48.
0.231187, 28900, 2018-03-09 01:00:10.
0.22922, 28950, 2018-03-09 01:00:32.
0.234969, 29000, 2018-03-09 01:00:54.
0.228642, 29050, 2018-03-09 01:01:19.
