Validation error, mini-batch count, D/T.
0.326513, 23150, 2018-03-09 13:16:29.
0.325605, 23200, 2018-03-09 13:16:52.
0.326135, 23250, 2018-03-09 13:17:14.
0.324788, 23300, 2018-03-09 13:17:36.
0.325826, 23350, 2018-03-09 13:17:59.
0.326476, 23400, 2018-03-09 13:18:21.
0.32588, 23450, 2018-03-09 13:18:43.
0.32528, 23500, 2018-03-09 13:19:06.
0.326541, 23550, 2018-03-09 13:19:28.
0.326096, 23600, 2018-03-09 13:19:50.
0.324696, 23650, 2018-03-09 13:20:13.
0.326507, 23700, 2018-03-09 13:20:35.
0.327246, 23750, 2018-03-09 13:20:57.
0.324618, 23800, 2018-03-09 13:21:20.
0.324545, 23850, 2018-03-09 13:21:42.
0.32508, 23900, 2018-03-09 13:22:04.
0.325428, 23950, 2018-03-09 13:22:26.
0.323662, 24000, 2018-03-09 13:22:51.
0.325167, 24050, 2018-03-09 13:23:14.
0.324477, 24100, 2018-03-09 13:23:36.
0.327145, 24150, 2018-03-09 13:23:58.
0.325691, 24200, 2018-03-09 13:24:21.
0.324912, 24250, 2018-03-09 13:24:43.
0.32473, 24300, 2018-03-09 13:25:06.
0.325044, 24350, 2018-03-09 13:25:28.
0.324525, 24400, 2018-03-09 13:25:50.
0.326337, 24450, 2018-03-09 13:26:13.
0.326633, 24500, 2018-03-09 13:26:35.
0.324221, 24550, 2018-03-09 13:26:58.
0.325834, 24600, 2018-03-09 13:27:20.
0.324561, 24650, 2018-03-09 13:27:43.
0.326412, 24700, 2018-03-09 13:28:05.
0.325159, 24750, 2018-03-09 13:28:28.
0.324704, 24800, 2018-03-09 13:28:50.
0.32497, 24850, 2018-03-09 13:29:13.
0.32281, 24900, 2018-03-09 13:29:38.
0.323896, 24950, 2018-03-09 13:30:00.
0.324308, 25000, 2018-03-09 13:30:22.
0.324075, 25050, 2018-03-09 13:30:45.
0.323538, 25100, 2018-03-09 13:31:07.
0.32561, 25150, 2018-03-09 13:31:29.
0.324094, 25200, 2018-03-09 13:31:52.
0.322766, 25250, 2018-03-09 13:32:17.
0.324801, 25300, 2018-03-09 13:32:39.
0.324483, 25350, 2018-03-09 13:33:01.
0.324526, 25400, 2018-03-09 13:33:24.
0.323005, 25450, 2018-03-09 13:33:46.
0.323464, 25500, 2018-03-09 13:34:09.
0.324374, 25550, 2018-03-09 13:34:31.
0.323044, 25600, 2018-03-09 13:34:54.
0.324187, 25650, 2018-03-09 13:35:16.
