Validation error, mini-batch count, D/T.
0.12022, 23300, 2018-03-10 13:11:33.
0.122706, 23350, 2018-03-10 13:13:23.
0.121335, 23400, 2018-03-10 13:15:18.
0.125163, 23450, 2018-03-10 13:17:10.
0.121755, 23500, 2018-03-10 13:18:59.
0.135279, 23550, 2018-03-10 13:20:52.
0.126084, 23600, 2018-03-10 13:22:46.
0.122767, 23650, 2018-03-10 13:24:44.
0.120745, 23700, 2018-03-10 13:26:34.
0.12017, 23750, 2018-03-10 13:28:30.
0.120665, 23800, 2018-03-10 13:30:24.
0.121013, 23850, 2018-03-10 13:32:19.
0.120478, 23900, 2018-03-10 13:34:12.
0.121293, 23950, 2018-03-10 13:36:04.
0.120515, 24000, 2018-03-10 13:37:56.
0.121538, 24050, 2018-03-10 13:39:50.
0.120669, 24100, 2018-03-10 13:41:40.
0.120732, 24150, 2018-03-10 13:43:32.
0.120233, 24200, 2018-03-10 13:45:25.
0.120793, 24250, 2018-03-10 13:47:17.
0.1242, 24300, 2018-03-10 13:49:10.
0.13667, 24350, 2018-03-10 13:51:06.
0.129596, 24400, 2018-03-10 13:53:00.
0.120748, 24450, 2018-03-10 13:54:51.
0.123919, 24500, 2018-03-10 13:56:43.
0.122593, 24550, 2018-03-10 13:58:38.
0.119975, 24600, 2018-03-10 14:00:32.
0.119918, 24650, 2018-03-10 14:02:27.
0.120223, 24700, 2018-03-10 14:04:20.
0.120155, 24750, 2018-03-10 14:06:12.
0.121006, 24800, 2018-03-10 14:08:07.
0.120272, 24850, 2018-03-10 14:10:01.
0.121335, 24900, 2018-03-10 14:11:53.
0.12592, 24950, 2018-03-10 14:13:47.
0.122142, 25000, 2018-03-10 14:15:40.
0.120172, 25050, 2018-03-10 14:17:37.
0.120686, 25100, 2018-03-10 14:19:29.
0.118728, 25150, 2018-03-10 14:21:26.
0.120552, 25200, 2018-03-10 14:23:19.
0.142256, 25250, 2018-03-10 14:25:10.
0.124673, 25300, 2018-03-10 14:27:04.
0.121323, 25350, 2018-03-10 14:28:58.
0.120712, 25400, 2018-03-10 14:30:49.
0.121389, 25450, 2018-03-10 14:32:39.
0.121092, 25500, 2018-03-10 14:34:29.
0.120714, 25550, 2018-03-10 14:36:20.
0.11965, 25600, 2018-03-10 14:38:13.
